delivery_id,date,customer,driver,vehicle,route,origin,destination,scheduled_time,actual_time,status,delay_minutes,delay_reason,distance_km,fuel_cost,delivery_cost,customer_rating
D00058,2022-07-13,Tech Solutions,Tom Wilson,TRK001,Route E,Hobart,Sydney,08:00,09:33,Delayed,93,Weather,120.5,140.59,134.04,5.0
D00059,2022-07-13,Manufacturing Co,David Garcia,VAN004,Route D,Perth,Cairns,09:45,10:38,Delayed,53,Road Works,259.3,78.78,376.56,3.0
D00060,2022-07-13,Global Logistics,Chris Taylor,VAN001,Route A,Adelaide,Adelaide,08:30,08:33,On Time,3,,380.9,105.29,297.98,4.0
D00061,2022-07-13,Food Distribution,David Garcia,VAN004,Route C,Perth,Perth,15:45,15:52,On Time,7,,268.0,58.53,332.66,
D00062,2022-07-14,Tech Solutions,Anna Williams,TRK001,Route B,Darwin,Sydney,18:45,18:56,On Time,11,,396.5,86.44,257.79,5.0
D00063,2022-07-14,Industrial Supply,Tom Wilson,VAN002,Route E,Hobart,Sydney,09:45,10:20,Delayed,35,Traffic,387.0,142.07,357.8,4.0
D00064,2022-07-14,XYZ Ltd,Lisa Davis,VAN001,Route B,Sydney,Hobart,17:45,18:05,Delayed,20,Road Works,440.8,129.65,311.17,
D00065,2022-07-14,ABC Corp,Tom Wilson,VAN002,Route C,Hobart,Melbourne,09:30,09:51,Delayed,21,Vehicle Issue,128.8,82.63,304.54,3.0
D00066,2022-07-14,Industrial Supply,Maria Rodriguez,TRK003,Route B,Cairns,Adelaide,08:45,08:42,On Time,0,,220.3,117.02,369.67,4.0
D00067,2022-07-14,Auto Parts Co,Tom Wilson,VAN003,Route C,Cairns,Adelaide,17:15,17:16,On Time,1,,109.7,78.93,244.96,5.0
D00068,2022-07-14,Metro Stores,Tom Wilson,TRK001,Route E,Brisbane,Cairns,12:30,13:23,Delayed,53,Traffic,379.0,148.9,332.72,4.0
D00069,2022-07-14,Tech Solutions,Sarah Johnson,TRK001,Route C,Cairns,Brisbane,10:15,10:26,On Time,11,,271.3,125.87,127.04,5.0
D00070,2022-07-15,Global Logistics,Chris Taylor,VAN001,Route B,Adelaide,Cairns,09:15,09:22,On Time,7,,436.1,66.84,361.12,4.0
D00071,2022-07-15,Metro Stores,Chris Taylor,VAN002,Route A,Hobart,Brisbane,08:15,08:12,On Time,0,,137.4,43.68,210.58,4.0
D00072,2022-07-15,XYZ Ltd,Lisa Davis,VAN004,Route A,Darwin,Perth,16:45,16:46,On Time,1,,300.3,112.78,239.28,5.0
D00073,2022-07-15,Manufacturing Co,Anna Williams,TRK002,Route A,Perth,Melbourne,13:00,12:51,On Time,0,,190.2,77.09,384.81,5.0
D00074,2022-07-15,Industrial Supply,Maria Rodriguez,VAN003,Route C,Brisbane,Darwin,13:15,14:54,Delayed,99,Traffic,117.3,87.03,170.83,5.0
D00075,2022-07-15,Retail Chain,Sarah Johnson,VAN004,Route A,Perth,Brisbane,12:30,12:28,On Time,0,,46.5,72.02,396.65,3.0
D00076,2022-07-15,Global Logistics,Mike Brown,TRK001,Route C,Melbourne,Melbourne,08:15,08:12,On Time,0,,254.6,134.8,132.98,3.0
D00077,2022-07-15,Auto Parts Co,Emma Chen,TRK001,Route B,Adelaide,Brisbane,07:30,07:27,On Time,0,,78.9,83.83,134.09,
D00078,2022-07-16,Auto Parts Co,John Smith,VAN001,Route D,Brisbane,Brisbane,15:00,14:57,On Time,0,,449.4,141.39,227.88,
D00079,2022-07-16,Global Logistics,Maria Rodriguez,TRK003,Route A,Melbourne,Adelaide,18:45,18:37,On Time,0,,290.3,106.02,313.65,5.0
D00080,2022-07-16,Metro Stores,Sarah Johnson,TRK002,Route E,Perth,Hobart,15:30,15:39,On Time,9,,216.9,57.85,201.68,4.0
D00081,2022-07-17,Tech Solutions,Anna Williams,TRK002,Route A,Sydney,Sydney,13:30,13:31,On Time,1,,208.5,127.52,211.79,
D00082,2022-07-17,Global Logistics,David Garcia,TRK001,Route C,Adelaide,Darwin,07:30,07:33,On Time,3,,69.0,95.5,146.42,3.0
D00083,2022-07-17,Auto Parts Co,Lisa Davis,VAN003,Route E,Brisbane,Adelaide,12:30,12:28,On Time,0,,37.3,63.89,328.72,4.0
D00084,2022-07-18,XYZ Ltd,Mike Brown,TRK001,Route A,Perth,Hobart,09:15,09:17,On Time,2,,203.4,73.02,211.02,5.0
D00085,2022-07-18,Auto Parts Co,John Smith,TRK002,Route C,Cairns,Hobart,16:00,16:35,Delayed,35,Weather,231.4,86.68,181.95,3.0
D00086,2022-07-18,Auto Parts Co,Anna Williams,VAN001,Route A,Perth,Hobart,12:45,12:56,On Time,11,,443.4,34.4,161.33,3.0
D00087,2022-07-18,Industrial Supply,David Garcia,TRK003,Route B,Hobart,Perth,11:30,11:20,On Time,0,,237.6,139.5,341.86,
D00088,2022-07-18,XYZ Ltd,Emma Chen,VAN003,Route E,Hobart,Hobart,18:00,18:04,On Time,4,,148.0,81.68,389.86,5.0
D00089,2022-07-19,Retail Chain,David Garcia,VAN003,Route E,Sydney,Hobart,18:30,18:23,On Time,0,,395.0,127.68,166.47,3.0
D00090,2022-07-19,Global Logistics,Emma Chen,TRK003,Route B,Sydney,Melbourne,15:00,14:56,On Time,0,,133.8,50.42,145.86,3.0
D00091,2022-07-19,Auto Parts Co,Anna Williams,VAN002,Route C,Melbourne,Cairns,09:45,09:53,On Time,8,,54.0,86.7,190.85,3.0
D00092,2022-07-19,ABC Corp,John Smith,VAN002,Route C,Sydney,Sydney,12:00,12:04,On Time,4,,286.4,95.45,238.81,5.0
D00093,2022-07-19,Global Logistics,Maria Rodriguez,VAN004,Route E,Melbourne,Brisbane,07:45,09:14,Delayed,89,Weather,216.5,136.48,351.21,3.0
D00094,2022-07-19,Industrial Supply,Anna Williams,TRK003,Route C,Darwin,Adelaide,15:15,15:27,On Time,12,,189.7,131.55,303.67,
D00095,2022-07-19,Food Distribution,David Garcia,VAN001,Route C,Melbourne,Darwin,17:30,17:23,On Time,0,,59.6,116.59,375.02,5.0
D00096,2022-07-19,XYZ Ltd,Tom Wilson,VAN003,Route C,Melbourne,Sydney,18:45,18:57,On Time,12,,299.6,84.16,208.55,3.0
D00097,2022-07-20,Tech Solutions,Sarah Johnson,VAN001,Route A,Brisbane,Darwin,12:45,12:39,On Time,0,,397.5,110.43,279.17,3.0
D00098,2022-07-20,Metro Stores,Emma Chen,TRK004,Route D,Adelaide,Cairns,18:15,18:06,On Time,0,,124.5,59.29,389.68,3.0
D00099,2022-07-20,Metro Stores,Chris Taylor,VAN003,Route B,Perth,Melbourne,12:45,12:44,On Time,0,,396.0,34.04,244.18,3.0
D00100,2022-07-20,Tech Solutions,Tom Wilson,VAN004,Route E,Melbourne,Hobart,18:00,18:14,On Time,14,,64.0,149.92,345.01,3.0
D00101,2022-07-20,Retail Chain,David Garcia,TRK002,Route C,Perth,Brisbane,13:00,13:01,On Time,1,,160.4,40.38,314.41,3.0
D00102,2022-07-20,Tech Solutions,Anna Williams,VAN004,Route E,Brisbane,Sydney,09:00,09:05,On Time,5,,33.1,56.11,144.86,5.0
D00103,2022-07-21,ABC Corp,Lisa Davis,VAN003,Route E,Cairns,Sydney,08:30,08:23,On Time,0,,72.1,149.19,279.02,
D00104,2022-07-21,Metro Stores,John Smith,VAN002,Route B,Hobart,Melbourne,15:15,15:14,On Time,0,,307.4,38.56,392.4,
D00105,2022-07-21,ABC Corp,David Garcia,VAN002,Route C,Brisbane,Darwin,15:00,15:05,On Time,5,,360.1,73.55,319.88,5.0
D00106,2022-07-21,Food Distribution,Emma Chen,TRK003,Route D,Cairns,Melbourne,18:30,18:31,On Time,1,,369.9,35.52,332.86,4.0
D00107,2022-07-21,Global Logistics,Tom Wilson,VAN003,Route E,Cairns,Adelaide,10:00,09:51,On Time,0,,40.6,114.33,185.83,3.0
D00108,2022-07-21,Global Logistics,David Garcia,VAN003,Route D,Hobart,Darwin,17:30,17:45,On Time,15,,438.8,93.99,249.26,5.0
D00109,2022-07-21,Metro Stores,Maria Rodriguez,TRK003,Route E,Adelaide,Darwin,11:00,10:52,On Time,0,,68.6,71.27,188.69,5.0
D00110,2022-07-21,Industrial Supply,John Smith,VAN002,Route E,Hobart,Adelaide,13:15,13:16,On Time,1,,296.8,133.85,117.21,4.0
D00111,2022-07-22,Industrial Supply,John Smith,TRK003,Route A,Perth,Darwin,15:15,15:49,Delayed,34,Road Works,178.9,155.18,109.72,4.0
D00112,2022-07-22,Auto Parts Co,Mike Brown,VAN002,Route D,Darwin,Adelaide,12:30,12:22,On Time,0,,131.1,42.32,320.7,4.0
D00113,2022-07-22,Industrial Supply,Lisa Davis,VAN001,Route D,Perth,Sydney,15:00,14:58,On Time,0,,82.7,37.0,151.8,3.0
D00114,2022-07-22,XYZ Ltd,Chris Taylor,VAN001,Route C,Melbourne,Melbourne,17:30,17:42,On Time,12,,362.3,95.68,136.41,3.0
D00115,2022-07-22,Auto Parts Co,Emma Chen,VAN004,Route E,Melbourne,Sydney,10:45,10:52,On Time,7,,52.9,80.75,315.08,4.0
D00116,2022-07-22,XYZ Ltd,Anna Williams,VAN004,Route E,Darwin,Melbourne,13:00,13:00,On Time,0,,398.1,132.34,291.94,3.0
D00117,2022-07-22,Tech Solutions,Tom Wilson,TRK003,Route B,Darwin,Perth,13:00,13:06,On Time,6,,172.1,154.02,368.48,4.0
D00118,2022-07-23,Auto Parts Co,Chris Taylor,TRK002,Route E,Melbourne,Melbourne,15:30,15:29,On Time,0,,97.8,111.3,370.6,5.0
D00119,2022-07-23,Auto Parts Co,Tom Wilson,TRK004,Route E,Hobart,Brisbane,07:00,07:10,On Time,10,,236.7,111.67,186.9,4.0
D00120,2022-07-23,ABC Corp,Mike Brown,VAN004,Route D,Cairns,Cairns,10:45,10:37,On Time,0,,111.7,108.9,193.77,5.0
D00121,2022-07-23,Food Distribution,Chris Taylor,TRK002,Route C,Perth,Cairns,12:45,12:46,On Time,1,,77.1,87.7,142.26,
D00122,2022-07-24,Auto Parts Co,Emma Chen,TRK004,Route B,Cairns,Cairns,13:15,13:51,Delayed,36,Vehicle Issue,237.0,68.65,106.95,5.0
D00123,2022-07-24,ABC Corp,John Smith,VAN001,Route D,Cairns,Adelaide,14:15,14:16,On Time,1,,253.1,141.37,229.28,5.0
D00124,2022-07-24,ABC Corp,Maria Rodriguez,TRK004,Route C,Adelaide,Sydney,12:45,12:47,On Time,2,,189.2,87.8,264.96,5.0
D00125,2022-07-24,Metro Stores,Emma Chen,VAN002,Route E,Darwin,Melbourne,17:00,16:53,On Time,0,,109.6,95.73,250.02,
D00126,2022-07-25,Industrial Supply,Mike Brown,TRK003,Route C,Darwin,Melbourne,18:30,18:36,On Time,6,,192.0,110.23,352.78,5.0
D00127,2022-07-25,Industrial Supply,John Smith,VAN002,Route C,Sydney,Hobart,15:45,15:44,On Time,0,,273.1,134.56,317.6,3.0
D00128,2022-07-25,Auto Parts Co,Maria Rodriguez,TRK004,Route A,Cairns,Melbourne,16:45,16:55,On Time,10,,247.8,124.36,332.38,5.0
D00129,2022-07-25,XYZ Ltd,Lisa Davis,TRK001,Route D,Darwin,Hobart,10:00,10:12,On Time,12,,89.4,120.22,223.11,4.0
D00130,2022-07-25,Retail Chain,Chris Taylor,VAN002,Route D,Hobart,Darwin,18:00,18:06,On Time,6,,431.6,89.05,259.94,5.0
D00131,2022-07-25,Retail Chain,Tom Wilson,VAN001,Route B,Adelaide,Adelaide,18:30,18:26,On Time,0,,324.6,120.18,246.7,5.0
D00132,2022-07-26,Metro Stores,David Garcia,VAN002,Route B,Adelaide,Brisbane,11:00,11:07,On Time,7,,147.2,123.41,203.91,4.0
D00133,2022-07-26,Manufacturing Co,Chris Taylor,VAN001,Route B,Sydney,Perth,18:45,18:52,On Time,7,,128.0,117.43,259.31,3.0
D00134,2022-07-26,XYZ Ltd,Mike Brown,TRK001,Route E,Melbourne,Hobart,08:45,08:50,On Time,5,,302.5,145.89,242.71,4.0
D00135,2022-07-26,XYZ Ltd,Maria Rodriguez,TRK004,Route E,Brisbane,Melbourne,12:30,12:44,On Time,14,,202.6,140.08,380.18,
D00136,2022-07-26,Manufacturing Co,John Smith,TRK001,Route C,Sydney,Darwin,13:45,13:58,On Time,13,,145.9,160.53,262.99,3.0
D00137,2022-07-26,XYZ Ltd,Emma Chen,TRK003,Route D,Adelaide,Melbourne,15:45,16:00,On Time,15,,31.0,72.51,188.51,3.0
D00138,2022-07-26,Global Logistics,Sarah Johnson,VAN003,Route A,Melbourne,Melbourne,09:45,09:51,On Time,6,,227.9,153.34,102.05,4.0
D00139,2022-07-27,ABC Corp,Tom Wilson,VAN002,Route B,Brisbane,Sydney,12:30,12:38,On Time,8,,222.8,48.56,305.82,5.0
D00140,2022-07-27,Global Logistics,Maria Rodriguez,TRK004,Route B,Melbourne,Cairns,11:00,10:59,On Time,0,,90.1,127.94,281.72,5.0
D00141,2022-07-27,Auto Parts Co,Sarah Johnson,VAN004,Route E,Darwin,Sydney,14:15,14:26,On Time,11,,414.8,42.15,348.63,3.0
D00142,2022-07-27,Industrial Supply,Sarah Johnson,TRK004,Route E,Cairns,Sydney,16:15,16:21,On Time,6,,407.0,87.14,116.69,
D00143,2022-07-27,Industrial Supply,Tom Wilson,TRK001,Route D,Adelaide,Brisbane,13:45,13:52,On Time,7,,342.0,105.07,113.59,3.0
D00144,2022-07-27,ABC Corp,Tom Wilson,VAN003,Route B,Melbourne,Hobart,15:00,15:24,Delayed,24,Customer Issue,184.1,147.33,234.56,4.0
D00145,2022-07-27,Food Distribution,Mike Brown,VAN002,Route A,Melbourne,Hobart,13:00,13:11,On Time,11,,249.8,125.26,166.81,
D00146,2022-07-28,Metro Stores,Chris Taylor,VAN003,Route B,Perth,Cairns,11:45,11:52,On Time,7,,172.1,64.21,381.22,3.0
D00147,2022-07-28,Retail Chain,Lisa Davis,TRK002,Route A,Brisbane,Cairns,07:45,07:35,On Time,0,,279.1,121.94,114.6,4.0
D00148,2022-07-28,ABC Corp,Mike Brown,VAN001,Route B,Darwin,Darwin,14:15,14:29,On Time,14,,125.7,145.29,395.71,4.0
D00149,2022-07-28,Tech Solutions,David Garcia,VAN004,Route A,Darwin,Hobart,11:30,11:38,On Time,8,,359.0,70.03,224.9,
D00150,2022-07-28,Retail Chain,Lisa Davis,VAN001,Route B,Cairns,Brisbane,13:15,13:20,On Time,5,,264.0,157.65,267.19,
D00151,2022-07-29,Industrial Supply,Emma Chen,TRK002,Route E,Perth,Brisbane,11:15,11:07,On Time,0,,139.1,117.95,280.88,3.0
D00152,2022-07-29,Manufacturing Co,John Smith,TRK004,Route B,Sydney,Cairns,16:15,16:15,On Time,0,,413.6,120.91,311.13,3.0
D00153,2022-07-29,Industrial Supply,Chris Taylor,VAN002,Route C,Adelaide,Darwin,15:30,15:32,On Time,2,,242.9,94.13,129.58,4.0
D00154,2022-07-29,ABC Corp,Maria Rodriguez,TRK004,Route B,Brisbane,Adelaide,12:15,12:18,On Time,3,,260.2,105.84,316.0,3.0
D00155,2022-07-29,Industrial Supply,Chris Taylor,VAN002,Route C,Cairns,Cairns,12:15,12:12,On Time,0,,220.9,125.92,205.65,
D00156,2022-07-29,ABC Corp,Chris Taylor,TRK001,Route A,Brisbane,Brisbane,15:45,15:52,On Time,7,,200.3,140.74,169.43,3.0
D00157,2022-07-30,Auto Parts Co,Anna Williams,VAN004,Route A,Brisbane,Hobart,14:30,14:40,On Time,10,,30.0,98.47,182.42,3.0
D00158,2022-07-30,XYZ Ltd,Sarah Johnson,TRK003,Route B,Perth,Adelaide,15:45,15:40,On Time,0,,371.5,63.09,219.07,4.0
D00159,2022-07-30,XYZ Ltd,John Smith,TRK002,Route D,Hobart,Hobart,14:15,14:59,Delayed,44,Vehicle Issue,259.9,34.58,102.84,4.0
D00160,2022-07-30,Food Distribution,John Smith,TRK004,Route B,Cairns,Adelaide,13:30,13:23,On Time,0,,44.8,37.04,377.68,5.0
D00161,2022-07-31,Metro Stores,Sarah Johnson,VAN001,Route B,Perth,Hobart,12:00,13:31,Delayed,91,Weather,312.7,99.98,215.15,5.0
D00162,2022-07-31,ABC Corp,Sarah Johnson,VAN003,Route B,Sydney,Darwin,18:00,18:01,On Time,1,,282.2,109.87,278.68,4.0
D00163,2022-08-01,Industrial Supply,Lisa Davis,VAN002,Route E,Hobart,Hobart,17:30,17:34,On Time,4,,103.9,106.09,214.02,4.0
D00164,2022-08-01,Metro Stores,Mike Brown,VAN003,Route C,Darwin,Sydney,10:00,09:54,On Time,0,,63.9,154.3,233.42,3.0
D00165,2022-08-01,Food Distribution,Chris Taylor,VAN003,Route A,Brisbane,Sydney,09:00,09:04,On Time,4,,175.4,39.56,279.41,4.0
D00166,2022-08-01,XYZ Ltd,Chris Taylor,TRK004,Route E,Melbourne,Hobart,07:30,07:44,On Time,14,,97.0,63.3,180.52,
D00167,2022-08-01,Industrial Supply,Sarah Johnson,VAN002,Route C,Perth,Cairns,09:45,09:44,On Time,0,,277.4,53.4,132.09,4.0
D00168,2022-08-02,Industrial Supply,Emma Chen,VAN003,Route E,Melbourne,Adelaide,16:45,16:45,On Time,0,,161.3,154.88,160.26,4.0
D00169,2022-08-02,Industrial Supply,Maria Rodriguez,TRK004,Route C,Hobart,Adelaide,12:30,12:40,On Time,10,,372.0,80.05,134.17,5.0
D00170,2022-08-02,ABC Corp,Anna Williams,TRK004,Route D,Adelaide,Sydney,15:15,15:22,On Time,7,,373.1,134.41,222.74,5.0
D00171,2022-08-02,Metro Stores,David Garcia,TRK002,Route D,Cairns,Hobart,11:15,11:09,On Time,0,,252.1,151.67,360.89,3.0
D00172,2022-08-02,Global Logistics,Mike Brown,TRK001,Route E,Hobart,Darwin,12:00,11:57,On Time,0,,435.4,85.11,103.16,5.0
D00173,2022-08-02,Industrial Supply,Maria Rodriguez,TRK003,Route C,Brisbane,Cairns,18:15,18:17,On Time,2,,69.4,83.16,388.52,
D00174,2022-08-02,Industrial Supply,Lisa Davis,VAN004,Route C,Cairns,Sydney,18:15,18:15,On Time,0,,211.2,121.06,195.67,5.0
D00175,2022-08-03,Tech Solutions,Lisa Davis,TRK003,Route E,Melbourne,Darwin,07:30,07:41,On Time,11,,262.9,156.39,169.56,3.0
D00176,2022-08-03,Auto Parts Co,Lisa Davis,VAN004,Route E,Hobart,Hobart,09:45,09:58,On Time,13,,26.9,56.0,183.5,3.0
D00177,2022-08-03,Tech Solutions,Emma Chen,VAN002,Route B,Cairns,Sydney,16:00,16:07,On Time,7,,136.5,143.46,258.31,5.0
D00178,2022-08-03,Global Logistics,Anna Williams,TRK003,Route C,Sydney,Melbourne,13:45,13:46,On Time,1,,158.1,59.21,135.08,3.0
D00179,2022-08-03,Auto Parts Co,David Garcia,VAN003,Route B,Cairns,Melbourne,15:45,15:39,On Time,0,,260.8,93.1,142.09,4.0
